micros,encoder
667124.00,	 4.0000000000
670472.00,	 0.0000000000
673856.00,	 3.0000000000
677196.00,	 4.0000000000
680536.00,	 4.0000000000
683884.00,	 3.0000000000
687236.00,	 1.0000000000
690576.00,	 4.0000000000
693912.00,	 4.0000000000
697260.00,	 4.0000000000
700620.00,	 2.0000000000
703972.00,	 1.0000000000
707324.00,	 4.0000000000
710676.00,	 0.0000000000
714048.00,	 1.0000000000
717388.00,	 3.0000000000
720736.00,	 1.0000000000
724100.00,	 0.0000000000
727468.00,	 1.0000000000
730820.00,	 1.0000000000
734168.00,	 2.0000000000
737512.00,	 2.0000000000
740856.00,	 3.0000000000
744204.00,	 16383.0000000000
747720.00,	 1.0000000000
751060.00,	 1.0000000000
754412.00,	 0.0000000000
757796.00,	 4.0000000000
761136.00,	 3.0000000000
764472.00,	 2.0000000000
767824.00,	 2.0000000000
771176.00,	 5.0000000000
774516.00,	 3.0000000000
777856.00,	 1.0000000000
781204.00,	 2.0000000000
784556.00,	 1.0000000000
787896.00,	 3.0000000000
791244.00,	 1.0000000000
794588.00,	 2.0000000000
797932.00,	 4.0000000000
801276.00,	 4.0000000000
804624.00,	 4.0000000000
807984.00,	 2.0000000000
811332.00,	 3.0000000000
814672.00,	 1.0000000000
818020.00,	 3.0000000000
821372.00,	 0.0000000000
824740.00,	 1.0000000000
828080.00,	 1.0000000000
831420.00,	 3.0000000000
834772.00,	 3.0000000000
838128.00,	 3.0000000000
841480.00,	 6.0000000000
844836.00,	 1.0000000000
848188.00,	 1.0000000000
851536.00,	 3.0000000000
854884.00,	 2.0000000000
858248.00,	 2.0000000000
861596.00,	 3.0000000000
864936.00,	 3.0000000000
868280.00,	 1.0000000000
871636.00,	 1.0000000000
874976.00,	 2.0000000000
878324.00,	 3.0000000000
881676.00,	 1.0000000000
885028.00,	 2.0000000000
888368.00,	 3.0000000000
891716.00,	 2.0000000000
895072.00,	 0.0000000000
898444.00,	 0.0000000000
901812.00,	 1.0000000000
905156.00,	 1.0000000000
908504.00,	 5.0000000000
911848.00,	 0.0000000000
915228.00,	 2.0000000000
918580.00,	 1.0000000000
921920.00,	 2.0000000000
925260.00,	 2.0000000000
928608.00,	 1.0000000000
931960.00,	 4.0000000000
935296.00,	 4.0000000000
938640.00,	 3.0000000000
941992.00,	 2.0000000000
945348.00,	 1.0000000000
948688.00,	 4.0000000000
952036.00,	 2.0000000000
955388.00,	 1.0000000000
958744.00,	 4.0000000000
962084.00,	 4.0000000000
965432.00,	 3.0000000000
968784.00,	 2.0000000000
972124.00,	 4.0000000000
975464.00,	 1.0000000000
978812.00,	 16383.0000000000
982328.00,	 1.0000000000
985672.00,	 4.0000000000
989020.00,	 3.0000000000
992372.00,	 3.0000000000
995712.00,	 5.0000000000
999048.00,	 1.0000000000
1002396.00,	 3.0000000000
1005796.00,	 2.0000000000
1009188.00,	 3.0000000000
1012592.00,	 0.0000000000
1016028.00,	 2.0000000000
1019420.00,	 3.0000000000
1022820.00,	 1.0000000000
1026232.00,	 1.0000000000
1029632.00,	 3.0000000000
1033032.00,	 1.0000000000
1036440.00,	 2.0000000000
1039832.00,	 1.0000000000
1043236.00,	 3.0000000000
1046644.00,	 3.0000000000
1050036.00,	 4.0000000000
1053440.00,	 5.0000000000
1056844.00,	 3.0000000000
1060240.00,	 3.0000000000
1063644.00,	 2.0000000000
1067048.00,	 1.0000000000
1070444.00,	 3.0000000000
1073836.00,	 0.0000000000
1077272.00,	 1.0000000000
1080668.00,	 1.0000000000
1084064.00,	 5.0000000000
1087460.00,	 6.0000000000
1090860.00,	 3.0000000000
1094256.00,	 4.0000000000
1097660.00,	 4.0000000000
1101056.00,	 0.0000000000
1104480.00,	 0.0000000000
1107916.00,	 1.0000000000
1111320.00,	 1.0000000000
1114716.00,	 3.0000000000
1118124.00,	 4.0000000000
1121524.00,	 0.0000000000
1124948.00,	 1.0000000000
1128352.00,	 0.0000000000
1131784.00,	 4.0000000000
1135180.00,	 2.0000000000
1138584.00,	 4.0000000000
1141984.00,	 0.0000000000
1145412.00,	 5.0000000000
1148816.00,	 1.0000000000
1152216.00,	 0.0000000000
1155644.00,	 2.0000000000
1159048.00,	 2.0000000000
1162452.00,	 3.0000000000
1165844.00,	 4.0000000000
1169248.00,	 2.0000000000
1172656.00,	 4.0000000000
1176052.00,	 1.0000000000
1179456.00,	 3.0000000000
1182864.00,	 2.0000000000
1186260.00,	 0.0000000000
1189696.00,	 4.0000000000
1193100.00,	 0.0000000000
1196524.00,	 4.0000000000
1199928.00,	 3.0000000000
1203336.00,	 1.0000000000
1206732.00,	 1.0000000000
1210140.00,	 2.0000000000
1213548.00,	 1.0000000000
1216944.00,	 2.0000000000
1220352.00,	 1.0000000000
1223760.00,	 1.0000000000
1227160.00,	 2.0000000000
1230568.00,	 3.0000000000
1233972.00,	 4.0000000000
1237364.00,	 4.0000000000
1240756.00,	 2.0000000000
1244168.00,	 0.0000000000
1247592.00,	 0.0000000000
1251020.00,	 0.0000000000
1254456.00,	 1.0000000000
1257852.00,	 3.0000000000
1261252.00,	 1.0000000000
1264660.00,	 3.0000000000
1268052.00,	 2.0000000000
1271448.00,	 3.0000000000
1274848.00,	 2.0000000000
1278252.00,	 3.0000000000
1281648.00,	 3.0000000000
1285052.00,	 2.0000000000
1288452.00,	 4.0000000000
