des,motor,enc
7,449,859
7,449,858
7,449,858
7,449,858
7,449,858
7,449,858
7,449,858
7,449,858
7,449,858
7,449,859
7,449,858
7,449,858
7,449,858
7,449,858
7,449,858
7,449,859
7,449,859
7,449,859
7,449,859
7,449,858
7,449,858
7,449,859
7,449,859
7,449,858
7,449,858
7,449,859
7,449,858
7,449,859
7,449,858
7,449,859
7,449,859
8,449,858
9,514,860
10,576,860
11,638,859
12,705,858
13,770,859
14,832,859
15,893,859
16,960,857
17,1026,858
18,1088,858
19,1149,857
20,1217,856
21,1282,857
22,1344,857
23,1405,856
24,1473,855
25,1538,856
26,1600,856
27,1661,855
28,1729,853
29,1794,854
30,1856,854
31,1917,853
32,1985,852
33,2050,852
34,2112,852
35,2173,851
36,2241,850
37,2306,850
38,2368,850
39,2429,849
40,2497,847
41,2562,848
42,2624,847
43,2685,846
44,2753,845
45,2817,844
46,2880,844
47,2941,843
48,3009,841
49,3072,841
50,3135,841
51,3197,838
52,3265,836
53,3327,837
54,3389,836
55,3452,834
56,3520,832
57,3582,832
58,3645,832
59,3707,828
60,3776,826
61,3837,826
62,3901,825
63,3963,822
64,4032,819
65,4093,819
66,4157,818
67,4218,815
68,4286,811
69,4348,811
70,4412,809
71,4474,805
72,4541,801
73,4604,799
74,4669,798
75,4730,794
76,4797,790
77,4860,788
78,4924,786
79,4986,782
80,5053,778
81,5116,776
82,5180,774
83,5242,771
84,5309,767
85,5371,764
86,5436,763
87,5499,759
88,5564,755
89,5626,752
90,5689,750
91,5753,748
92,5817,744
92,5876,740
92,5876,740
92,5876,740
92,5876,741
92,5876,741
91,5877,741
90,5821,749
89,5757,754
88,5696,759
87,5631,762
86,5569,765
85,5501,769
84,5440,773
83,5377,776
82,5313,776
81,5245,779
80,5184,783
79,5121,785
78,5057,786
77,4989,790
76,4928,794
75,4866,795
74,4802,795
73,4733,798
72,4672,801
71,4610,803
70,4545,802
69,4477,806
68,4416,809
67,4354,811
66,4289,811
65,4221,814
64,4160,818
63,4098,819
62,4033,819
61,3967,823
60,3904,827
59,3842,828
58,3777,828
57,3709,831
56,3648,833
55,3586,834
54,3521,834
53,3456,836
52,3393,838
51,3330,839
50,3265,838
49,3200,840
48,3137,842
47,3074,842
46,3009,841
45,2945,843
44,2881,845
43,2818,845
42,2753,845
41,2689,847
40,2625,848
39,2562,848
38,2497,847
37,2433,849
36,2369,850
35,2306,850
34,2241,850
33,2177,851
32,2113,853
31,2050,852
30,1985,852
29,1921,853
28,1857,854
27,1794,854
26,1729,854
25,1665,855
24,1601,856
23,1538,856
22,1473,855
21,1409,856
20,1345,857
19,1282,857
18,1217,856
17,1153,857
16,1089,858
15,1026,859
14,961,857
13,897,859
12,833,859
11,770,859
10,705,858
9,641,859
8,577,860
7,514,860
6,449,859
6,386,860
6,386,859
6,386,860
