des,motor,enc
12,770,861
12,770,861
12,770,861
12,770,861
12,770,861
13,770,861
14,832,860
15,894,860
16,961,859
17,1026,860
18,1088,860
19,1149,860
20,1217,858
21,1282,859
22,1344,859
23,1405,858
24,1473,857
25,1538,858
26,1600,859
27,1661,857
28,1729,856
29,1794,857
30,1856,857
31,1917,856
32,1985,854
33,2050,855
34,2112,855
35,2173,854
36,2241,853
37,2306,853
38,2368,853
39,2429,852
40,2497,850
41,2562,851
42,2624,851
43,2685,849
44,2753,848
45,2818,848
46,2880,848
47,2941,847
48,3009,845
49,3073,845
50,3134,845
51,3197,843
52,3265,842
53,3328,842
54,3391,842
55,3453,839
56,3521,838
57,3582,838
58,3646,837
59,3708,835
60,3776,833
61,3837,833
62,3901,832
63,3963,829
64,4032,827
65,4093,827
66,4157,826
67,4219,823
68,4288,821
69,4349,821
70,4413,820
71,4474,816
72,4542,813
73,4604,812
74,4668,811
75,4730,808
76,4797,803
77,4860,802
78,4925,800
79,4986,797
80,5053,793
81,5116,790
82,5181,788
83,5242,785
84,5309,781
85,5371,778
86,5437,776
87,5498,773
88,5564,768
89,5627,766
90,5692,764
91,5754,761
92,5821,756
93,5882,753
94,5945,751
95,6010,747
96,6073,742
97,6132,737
98,6197,738
98,6265,734
97,6265,735
96,6205,738
95,6139,743
94,6080,747
93,6013,751
92,5952,757
91,5889,760
90,5825,762
89,5757,766
88,5697,771
87,5634,772
86,5569,773
85,5500,779
84,5440,783
83,5378,785
82,5313,785
81,5245,787
80,5184,791
79,5122,793
78,5057,793
77,4989,797
76,4928,801
75,4866,803
74,4801,803
73,4733,806
72,4672,810
71,4610,811
70,4546,811
69,4479,813
68,4416,818
67,4354,820
66,4289,820
65,4223,822
64,4160,825
63,4098,829
62,4033,828
61,3967,830
60,3904,833
59,3842,834
58,3777,834
57,3712,835
56,3649,837
55,3586,839
54,3521,838
53,3456,840
52,3393,841
51,3330,842
50,3265,842
49,3201,843
48,3137,845
47,3074,845
46,3009,844
45,2945,846
44,2881,848
43,2818,848
42,2753,847
41,2689,849
40,2625,851
39,2562,851
38,2497,850
37,2433,851
36,2369,853
35,2306,852
34,2241,852
33,2177,853
32,2113,855
31,2050,854
30,1985,854
29,1921,855
28,1857,856
27,1794,856
26,1729,855
25,1665,857
24,1601,858
23,1538,858
22,1473,857
21,1409,858
20,1345,859
19,1282,859
18,1217,858
17,1153,859
16,1089,860
15,1026,860
14,961,859
13,898,860
12,833,861
11,770,861
10,705,859
9,642,860
8,577,861
7,514,861
6,450,859
5,386,860
4,321,860
3,258,860
2,193,859
1,130,859
0,65,859
-1,2,859
-2,-63,858
-3,-126,858
-4,-191,858
-5,-254,858
-6,-318,856
-7,-382,857
-8,-447,857
-9,-510,856
-10,-574,855
-11,-638,855
-12,-703,855
-13,-766,854
-14,-830,853
-15,-894,853
-16,-959,853
-17,-1022,852
-18,-1086,850
-19,-1150,850
-20,-1215,851
-21,-1278,850
-22,-1342,848
-23,-1406,848
-24,-1470,847
-25,-1534,847
-26,-1598,845
-27,-1662,844
-28,-1726,844
