force,angle
-0.0003,0.0114
-0.0004,0.0553
0.0010,0.0333
0.0004,0.0773
0.0006,0.0773
0.0008,0.0993
0.0007,0.0993
0.0013,0.0553
0.0011,0.0114
0.0005,0.0553
0.0013,0.0114
0.0008,0.0993
0.0010,-0.0106
0.0003,0.0553
-0.0008,0.0553
-0.0014,0.0114
-0.0012,0.1212
0.0009,0.0993
-0.0000,0.1212
-0.0015,0.1432
-0.0028,0.0993
-0.0015,0.0553
-0.0016,0.0333
-0.0014,0.0333
-0.0011,0.1212
-0.0014,0.0773
-0.0006,0.0773
-0.0015,0.0333
-0.0018,0.0773
-0.0007,0.0333
0.0004,0.0333
0.0003,0.0333
-0.0005,0.0773
-0.0009,0.0553
-0.0001,0.1212
0.0002,0.0993
-0.0008,0.0553
-0.0007,0.0553
-0.0004,0.0773
-0.0027,0.0553
-0.0026,0.0553
-0.0022,0.0333
-0.0010,0.0333
-0.0002,0.0773
-0.0005,0.0993
-0.0001,0.0773
0.0001,0.0114
-0.0001,0.0114
-0.0007,0.0333
-0.0008,0.0553
-0.0014,0.0993
-0.0010,0.0553
0.0005,0.0773
0.0005,0.0114
0.0005,0.0773
0.0002,0.0553
-0.0004,0.1212
0.0001,0.0333
-0.0008,0.0333
-0.0002,0.0993
-0.0008,0.0333
-0.0013,0.0773
-0.0012,0.0114
-0.0015,0.0773
-0.0010,0.0114
-0.0014,0.0553
-0.0013,0.0993
-0.0019,0.0553
-0.0009,0.0333
-0.0010,0.0553
-0.0019,0.0773
-0.0009,0.0333
0.0005,0.0553
0.0018,0.0773
0.0015,0.0773
0.0003,0.0114
0.0005,0.0333
0.0002,0.0993
-0.0012,0.0993
-0.0008,0.0773
0.0000,0.0993
-0.0006,0.0553
-0.0001,0.0553
0.0002,0.1652
0.0001,0.0993
0.0002,0.0114
-0.0010,0.0553
-0.0009,0.0114
-0.0006,0.0333
-0.0013,0.0553
-0.0019,0.1212
-0.0019,0.0333
-0.0007,0.0114
0.0006,0.0553
-0.0005,0.0553
-0.0014,0.1212
-0.0006,0.2531
0.0068,0.4948
0.0197,0.6925
0.0348,0.8903
0.0557,1.3517
0.0793,1.8571
0.1088,2.2086
0.1450,2.5163
0.1816,2.8458
0.2147,3.2414
0.2459,3.5709
0.2762,3.9445
0.3065,4.2521
0.3379,4.6916
0.3704,5.0211
0.4005,5.3947
0.4305,5.7023
0.4588,5.9220
0.4789,6.2077
0.5008,6.6032
0.5261,6.9108
0.5536,7.1525
0.5815,7.5480
0.6083,7.8776
0.6376,8.4269
0.6756,8.9323
0.7190,9.4157
0.7638,9.7672
0.8028,10.1408
0.8361,10.3385
0.8631,10.4704
0.8838,10.5583
0.8991,10.7999
0.9121,11.0636
0.9288,11.4152
0.9528,11.8107
0.9788,12.1183
1.0089,12.6017
1.0366,12.8654
1.0646,13.2389
1.0976,13.5685
1.1269,13.8981
1.1544,14.2057
1.1802,14.6012
