micros,encoder
667148.00,	 0.0000000000
670528.00,	 5.0000000000
673880.00,	 0.0000000000
677252.00,	 0.0000000000
680632.00,	 0.0000000000
684008.00,	 2.0000000000
687348.00,	 0.0000000000
690720.00,	 0.0000000000
694100.00,	 1.0000000000
697452.00,	 0.0000000000
700824.00,	 16383.0000000000
704332.00,	 0.0000000000
707716.00,	 16383.0000000000
711220.00,	 1.0000000000
714568.00,	 0.0000000000
717952.00,	 16383.0000000000
721456.00,	 0.0000000000
724832.00,	 0.0000000000
728216.00,	 1.0000000000
731556.00,	 0.0000000000
734924.00,	 1.0000000000
738272.00,	 2.0000000000
741616.00,	 1.0000000000
744960.00,	 2.0000000000
748308.00,	 1.0000000000
751660.00,	 16383.0000000000
755172.00,	 16383.0000000000
758688.00,	 16383.0000000000
762204.00,	 3.0000000000
765544.00,	 16383.0000000000
769064.00,	 0.0000000000
772436.00,	 1.0000000000
775784.00,	 0.0000000000
779160.00,	 0.0000000000
782544.00,	 0.0000000000
785916.00,	 16383.0000000000
789428.00,	 1.0000000000
792780.00,	 0.0000000000
796160.00,	 16383.0000000000
799668.00,	 16383.0000000000
803188.00,	 2.0000000000
806528.00,	 1.0000000000
809876.00,	 0.0000000000
813260.00,	 16383.0000000000
816764.00,	 16383.0000000000
820284.00,	 2.0000000000
823624.00,	 1.0000000000
826976.00,	 1.0000000000
830324.00,	 2.0000000000
833672.00,	 2.0000000000
837012.00,	 3.0000000000
840360.00,	 2.0000000000
843708.00,	 0.0000000000
847096.00,	 16383.0000000000
850608.00,	 1.0000000000
853952.00,	 1.0000000000
857296.00,	 2.0000000000
860636.00,	 3.0000000000
863984.00,	 1.0000000000
867340.00,	 16383.0000000000
870840.00,	 16381.0000000000
874348.00,	 1.0000000000
877700.00,	 0.0000000000
881068.00,	 1.0000000000
884424.00,	 1.0000000000
887772.00,	 16383.0000000000
891280.00,	 1.0000000000
894620.00,	 0.0000000000
898000.00,	 0.0000000000
901376.00,	 16383.0000000000
904872.00,	 0.0000000000
908256.00,	 0.0000000000
911632.00,	 0.0000000000
915004.00,	 2.0000000000
918352.00,	 0.0000000000
921736.00,	 1.0000000000
925080.00,	 1.0000000000
928424.00,	 2.0000000000
931772.00,	 16383.0000000000
935280.00,	 1.0000000000
938624.00,	 0.0000000000
942004.00,	 1.0000000000
945356.00,	 1.0000000000
948708.00,	 0.0000000000
952088.00,	 16383.0000000000
955604.00,	 16383.0000000000
959108.00,	 2.0000000000
962456.00,	 16382.0000000000
965972.00,	 1.0000000000
969320.00,	 0.0000000000
972700.00,	 0.0000000000
976084.00,	 1.0000000000
979424.00,	 0.0000000000
982804.00,	 16383.0000000000
986316.00,	 1.0000000000
989656.00,	 0.0000000000
993032.00,	 1.0000000000
996388.00,	 0.0000000000
999756.00,	 16381.0000000000
1003268.00,	 1.0000000000
1006676.00,	 2.0000000000
1010072.00,	 0.0000000000
1013508.00,	 0.0000000000
1016948.00,	 1.0000000000
1020344.00,	 1.0000000000
1023744.00,	 2.0000000000
1027156.00,	 0.0000000000
1030584.00,	 0.0000000000
1034020.00,	 1.0000000000
1037428.00,	 0.0000000000
1040852.00,	 1.0000000000
1044256.00,	 16383.0000000000
1047824.00,	 16381.0000000000
1051380.00,	 16382.0000000000
1054948.00,	 1.0000000000
1058340.00,	 16383.0000000000
1061912.00,	 1.0000000000
1065308.00,	 16383.0000000000
1068864.00,	 0.0000000000
1072300.00,	 1.0000000000
1075704.00,	 1.0000000000
1079108.00,	 16383.0000000000
1082676.00,	 16383.0000000000
1086232.00,	 0.0000000000
1089668.00,	 0.0000000000
1093092.00,	 2.0000000000
1096492.00,	 2.0000000000
1099900.00,	 16383.0000000000
1103460.00,	 16383.0000000000
1107032.00,	 0.0000000000
1110456.00,	 0.0000000000
1113892.00,	 2.0000000000
1117300.00,	 0.0000000000
1120724.00,	 4.0000000000
1124128.00,	 0.0000000000
1127568.00,	 0.0000000000
1130992.00,	 0.0000000000
1134428.00,	 3.0000000000
1137836.00,	 0.0000000000
1141268.00,	 1.0000000000
1144672.00,	 16383.0000000000
1148244.00,	 16383.0000000000
1151800.00,	 16383.0000000000
1155368.00,	 0.0000000000
1158792.00,	 1.0000000000
1162192.00,	 0.0000000000
1165620.00,	 0.0000000000
1169048.00,	 16383.0000000000
1172612.00,	 2.0000000000
1176008.00,	 0.0000000000
1179440.00,	 0.0000000000
1182876.00,	 1.0000000000
1186272.00,	 1.0000000000
1189680.00,	 2.0000000000
1193088.00,	 0.0000000000
1196512.00,	 1.0000000000
1199916.00,	 1.0000000000
1203324.00,	 16383.0000000000
1206880.00,	 0.0000000000
1210312.00,	 16383.0000000000
1213880.00,	 2.0000000000
1217284.00,	 1.0000000000
1220692.00,	 1.0000000000
1224092.00,	 0.0000000000
1227528.00,	 1.0000000000
1230936.00,	 1.0000000000
1234328.00,	 1.0000000000
