force,angle
-0.0018,-0.0468
-0.0007,-0.0468
-0.0007,0.0191
-0.0022,0.0631
-0.0012,-0.0468
-0.0001,-0.0248
-0.0018,0.0411
-0.0004,0.0631
0.0012,-0.0468
0.0009,-0.0248
-0.0011,-0.0688
-0.0014,0.0191
0.0004,-0.0688
-0.0004,0.0191
-0.0002,-0.0029
0.0008,-0.0029
-0.0007,0.0631
0.0001,0.0631
-0.0001,-0.0029
-0.0003,-0.0907
-0.0008,-0.0468
-0.0009,0.0191
0.0005,0.0191
-0.0003,-0.0029
0.0000,-0.0688
-0.0001,-0.0248
-0.0014,-0.0029
-0.0009,-0.0029
0.0008,0.0191
-0.0011,0.0191
-0.0013,-0.0468
0.0005,-0.0468
0.0003,-0.0248
-0.0009,-0.0248
-0.0007,-0.0029
-0.0011,0.0191
-0.0006,-0.0468
-0.0003,0.0411
-0.0006,0.0191
0.0003,0.0411
0.0009,-0.0468
0.0005,-0.0248
0.0002,0.0191
-0.0001,-0.0468
-0.0017,-0.0248
-0.0009,0.0411
-0.0001,0.0191
-0.0011,0.0191
-0.0003,0.0191
-0.0001,-0.0029
0.0005,0.0631
0.0010,0.0191
0.0014,-0.0468
0.0023,0.0191
0.0017,-0.0029
0.0007,-0.0248
0.0005,0.0191
0.0001,-0.0029
-0.0006,-0.0688
0.0011,0.0191
0.0024,-0.0248
0.0019,0.0191
0.0022,0.0191
0.0022,-0.0029
0.0015,-0.0688
0.0001,-0.0029
0.0009,-0.0468
0.0011,0.0411
0.0007,0.0191
0.0007,-0.0688
0.0014,-0.0029
0.0016,0.0411
0.0018,0.0191
0.0015,-0.0688
0.0010,0.0191
0.0041,-0.0468
0.0059,0.0411
0.0082,-0.0468
0.0394,-0.0029
0.0968,0.1070
0.1725,-0.0029
0.2863,0.0850
0.4296,-0.0468
0.5657,-0.0248
0.6788,-0.0029
0.8160,-0.0248
0.9983,-0.0468
1.1971,-0.0688
1.3821,-0.0248
1.5568,-0.0029
1.7509,-0.1127
1.9456,-0.1127
2.1388,-0.0688
2.3287,-0.0688
2.4899,-0.0907
2.6373,-0.0907
2.7906,-0.1786
2.9438,-0.0907
3.0814,-0.1567
3.1870,-0.1347
3.2915,-0.1786
3.4088,-0.1567
3.5046,-0.1567
3.6314,-0.2226
3.8088,-0.2226
3.9485,-0.2226
4.0477,-0.2446
4.1408,-0.2885
4.2813,-0.2665
4.4108,-0.3105
4.4670,-0.3764
4.5634,-0.2885
4.6687,-0.3984
4.7868,-0.3544
4.9204,-0.3764
5.0848,-0.3984
5.2227,-0.3984
5.3236,-0.4643
5.4190,-0.4643
5.5037,-0.4643
5.5879,-0.3984
5.6553,-0.4643
5.6443,-0.3984
5.6531,-0.4203
5.7760,-0.3984
5.9794,-0.3984
5.9605,-0.4423
5.6346,-0.3324
5.1348,-0.3324
4.6016,-0.2446
4.1331,-0.2226
3.7087,-0.2446
3.2495,-0.1567
2.7381,-0.2006
2.1047,-0.1127
1.5444,-0.0468
1.1018,-0.0907
0.6517,-0.0468
0.2954,-0.0029
0.1130,-0.0029
0.0598,-0.0688
0.0337,-0.1127
0.0091,-0.0029
0.0113,0.0191
0.0245,-0.0248
0.0282,-0.0688
