force,angle
0.0011,-0.0260
0.0017,0.0180
0.0007,0.0839
0.0008,0.0619
0.0004,0.0399
0.0006,0.0180
-0.0002,0.0399
-0.0005,0.0399
0.0001,-0.0260
0.0009,-0.0040
0.0008,0.0619
0.0004,0.0180
0.0001,0.1059
-0.0003,0.0619
0.0004,0.0399
0.0001,0.0399
0.0009,0.0619
0.0004,0.0399
0.0007,0.0399
0.0005,0.0839
-0.0009,0.0180
0.0003,-0.0260
0.0013,0.0180
0.0005,0.0180
0.0008,-0.0040
0.0016,-0.0040
0.0010,-0.0699
0.0009,-0.0040
0.0004,0.0180
0.0001,0.0619
0.0005,0.0180
-0.0008,-0.0040
-0.0009,0.0619
0.0003,-0.0480
0.0015,-0.0260
0.0007,0.0619
-0.0005,-0.0040
-0.0006,-0.0480
0.0001,0.0399
0.0011,0.0399
0.0014,0.0839
0.0006,0.0619
0.0019,0.0619
0.0022,0.0180
0.0018,0.0180
0.0019,0.0399
-0.0002,0.0180
-0.0007,-0.0040
0.0006,0.0399
0.0003,-0.0480
-0.0007,-0.0040
0.0008,0.0399
0.0014,-0.0040
0.0017,0.0619
0.0021,-0.0260
0.0012,0.0399
0.0006,-0.0260
0.0027,-0.0480
0.0038,0.0399
0.0034,-0.0040
0.0006,0.0619
0.0006,0.0839
0.0019,0.2597
0.0053,0.6991
0.0189,0.8529
0.0415,1.0946
0.0597,1.3143
0.0777,1.5780
0.1002,1.7977
0.1210,2.0394
0.1423,2.3910
0.1682,2.6986
0.1949,2.9403
0.2197,3.2479
0.2446,3.6434
0.2735,3.8851
0.3004,4.1488
0.3262,4.4345
0.3522,4.7201
0.3779,5.0058
0.3944,5.3573
0.4146,5.5770
0.4371,5.8187
0.4608,6.0824
0.4878,6.3021
0.5105,6.3241
0.5291,6.4999
0.5411,6.6317
0.5516,6.7416
0.5610,6.8515
0.5694,6.9613
0.5761,7.1151
0.5847,7.1591
0.5947,7.2470
0.6030,7.3349
0.6110,7.4667
0.6188,7.5326
0.6278,7.5985
0.6371,7.7304
0.6450,7.8183
0.6533,7.9281
0.6625,7.9940
0.6707,8.1039
0.6786,8.1918
0.6872,8.4555
