force,angle
-4.6084,2.5604
-4.9309,2.4725
-5.3063,2.6922
-5.6244,2.8680
-5.9830,3.0658
-6.3541,3.1976
-6.7393,3.2635
-7.1572,3.4173
-7.5144,3.5931
-7.8220,3.6810
-8.1478,3.9666
-8.4915,4.1644
-8.8525,4.2083
-9.1925,4.3841
-9.4640,4.6038
-9.7195,4.7357
-9.9879,4.8895
-10.2413,5.0433
-10.4452,5.1092
-10.6734,5.3070
-10.8898,5.5267
-11.1156,5.5926
-11.3496,5.6146
-11.5061,5.8343
-11.6412,5.9881
-11.8188,6.0101
-11.9569,5.9881
-12.0143,6.1859
-12.1180,6.2518
-12.2719,6.3397
-12.3977,6.4935
-12.5727,6.5594
-12.8085,6.6912
-12.9864,6.8890
-13.1926,6.9989
-13.3957,7.1966
-13.6505,7.3724
-13.9598,7.5482
-14.2142,7.6580
-14.4524,7.9657
-14.7621,8.1414
-15.1455,8.2513
-15.4387,8.3831
-15.6316,8.5150
-15.8228,8.6029
-15.9895,8.7786
-16.1542,8.9105
-16.3513,9.1522
-16.5386,9.1302
-16.7302,9.2620
-16.8870,9.3280
-17.0418,9.4378
-17.2448,9.4818
-17.4042,9.6575
-17.5465,9.5916
-17.5890,9.7454
-17.6353,9.7454
-17.7952,9.8333
-17.9228,9.8773
-18.0296,10.0091
-18.1508,10.0531
-18.2062,9.9652
-18.2546,10.1629
-18.3256,10.2288
-18.4633,10.2508
-18.6101,10.2948
-18.6753,10.2508
-18.7016,10.4705
-18.7719,10.5365
-18.8846,10.5804
-19.0068,10.7122
-19.1622,10.7562
-19.3759,10.8660
-19.5797,10.9759
-19.7598,11.0199
-19.9987,11.0858
-20.1918,11.1077
-20.1919,11.1956
-20.1969,11.1956
-20.2613,11.1737
-20.2368,11.2176
-20.1133,11.1297
-19.8489,11.1517
-19.5906,11.1956
-19.3907,11.1077
-19.2481,11.0858
-19.1610,11.1297
-19.0736,11.1517
-18.9787,11.0638
-18.7969,11.1077
-18.5734,11.0858
-18.3042,11.0418
-17.9576,10.9100
-17.6372,10.8441
-17.3830,10.7782
-17.1186,10.5145
-16.8939,10.6683
-16.6592,10.4925
-16.4210,10.3826
-16.2092,10.2948
-16.0139,10.2728
-15.8227,10.1849
-15.5928,9.9871
-15.3744,9.8773
-15.2002,9.9212
-15.0249,9.7015
-14.8770,9.6795
-14.7559,9.6136
-14.6045,9.5257
-14.4364,9.4378
-14.2484,9.2620
-14.0675,9.1522
-13.8978,9.0863
-13.7335,8.8885
-13.5747,8.9764
-13.4300,8.8665
-13.3217,8.7567
-13.2015,8.7567
-13.0975,8.7127
-13.0452,8.5809
-12.9593,8.4271
-12.8147,8.4491
-12.7177,8.2733
-12.5791,8.3612
-12.4328,8.1414
-12.3487,8.1414
-12.2131,8.0975
-12.0637,8.0096
-11.9814,7.9437
-11.9545,7.8997
-11.8911,7.8118
-11.8046,7.7240
-11.7142,7.6361
-11.5701,7.6580
-11.4504,7.4603
-11.3360,7.3504
-11.1596,7.3944
-11.0136,7.2625
-10.9635,7.1527
-10.8837,7.0428
-10.7329,7.0208
-10.5587,6.8890
-10.4417,6.7572
-10.3576,6.5594
-10.2344,6.6473
-10.0722,6.6253
-9.9668,6.5374
-9.9131,6.4056
-9.8299,6.3836
-9.7791,6.4276
-9.7488,6.3397
-9.6812,6.1859
-9.5542,5.9881
-9.3508,5.9442
-9.1968,6.0540
-9.2061,6.0101
-9.1996,6.0101
-9.1628,5.8563
-9.0559,5.7025
-8.9139,5.7244
-8.7901,5.4827
-8.6311,5.4388
-8.4577,5.2410
-8.3197,5.2630
-8.1191,5.0653
-7.9254,5.0653
-7.7443,4.8016
-7.5846,4.8236
-7.3991,4.7796
-7.2570,4.5819
-7.1240,4.4500
-6.9548,4.3621
-6.7639,4.3621
-6.5996,4.2962
-6.4986,4.1424
-6.3861,4.0545
-6.1268,3.9227
-5.9274,3.9007
-5.7745,3.8568
-5.7255,3.8787
-5.7712,3.9666
-5.8732,3.9886
-6.0036,4.0545
-6.2568,4.0325
-6.5325,4.2083
-6.8074,4.4061
-7.2518,4.6917
-7.7734,5.0872
-8.3460,5.3949
-8.9393,5.8123
-9.5914,6.1639
-10.2630,6.5814
-10.7776,6.8011
-11.2392,6.9549
-11.6015,7.3284
-11.9392,7.4383
-12.3214,7.6580
-12.6806,8.0316
-13.0493,8.5150
-13.5502,8.9324
-14.2020,9.2181
-14.9718,9.7454
-15.6842,10.0970
-16.5046,10.4486
-17.2810,10.6903
-17.9241,10.8001
-18.4359,11.1956
-18.9820,11.2835
-19.6382,11.6131
-20.1763,11.8548
-20.6731,11.9647
-21.2180,12.2723
-21.7631,12.5579
-22.3663,12.6898
-22.9619,12.9095
-23.4247,13.1073
-23.8165,13.2830
-24.1899,13.4149
-24.5069,13.5907
-24.7517,13.7445
-25.0509,13.7664
-25.2975,13.8104
-25.4240,14.0741
-25.5670,14.1180
-25.8215,14.2938
-26.0209,14.3158
-26.1305,14.4476
-26.2688,14.4696
-26.3629,14.6014
-26.4572,14.6453
-26.6606,14.7332
-26.8184,14.7772
-26.8483,14.9090
-26.8375,14.7991
-26.9088,14.9310
-26.8620,14.8651
-26.8041,14.9310
-26.6699,14.9310
-26.4518,14.9310
-26.2059,14.7991
-25.9614,14.9530
-25.6607,14.7552
-25.3662,14.8870
-25.1024,14.7552
-24.8742,14.8870
-24.6978,14.8870
-24.4836,14.7552
-24.1998,14.7991
-23.8507,14.6893
-23.5314,14.7113
-23.2761,14.6014
-23.0300,14.6453
-22.7634,14.5574
-22.4566,14.4036
-22.1612,14.2938
-21.8406,14.1839
-21.4322,14.0301
-20.9752,13.9862
-20.5646,13.8324
-20.2466,13.7005
-19.9852,13.6346
-19.6498,13.3490
-19.2394,13.2391
-18.7607,13.1073
-18.4224,12.9974
-18.1693,12.7777
-17.7774,12.6019
-17.3922,12.5360
-17.1521,12.4041
-16.9574,12.2503
-16.7387,12.0745
-16.4427,11.8988
-16.0984,11.7010
-15.7661,11.6131
-15.4587,11.4813
-15.2605,11.3055
-15.1017,11.1077
-14.9125,10.9320
-14.6401,10.8001
-14.3159,10.6024
-14.0504,10.3607
-13.7611,9.9871
-13.3675,10.0091
-13.0348,9.9432
-12.9125,9.7894
-12.8005,9.6356
-12.6074,9.4598
-12.3644,9.3719
-12.2161,9.2840
-12.1229,9.1522
-12.0055,9.0423
-11.8534,8.9324
-11.6851,8.8446
-11.5186,8.5809
-11.3390,8.3172
-11.0859,8.2513
-10.8630,8.0535
-10.6869,7.8338
-10.4617,7.6141
-10.1989,7.4603
-9.9536,7.3944
-9.8298,7.3065
-9.7188,7.0867
-9.5351,7.0428
-9.3444,6.8011
-9.2048,6.7791
-9.0025,6.5374
-8.8101,6.3836
-8.6657,6.3616
-8.4583,6.1859
-8.2834,6.0101
-8.1398,5.8343
-7.9433,5.8563
-7.8004,5.8783
-7.7702,5.6585
-7.6829,5.6146
-7.4822,5.6366
-7.4322,5.4168
-7.3501,5.2850
-7.1156,5.2630
-6.8917,5.0213
-6.7125,5.0213
-6.5176,4.9774
-6.4096,4.8455
-6.3196,4.8016
-6.2381,4.7357
-6.1244,4.6258
-6.0156,4.7137
-6.0644,4.6258
-6.0496,4.5379
-5.8765,4.4720
-5.7747,4.5819
-5.7206,4.4720
-5.6588,4.3621
-5.5656,4.1864
-5.4059,4.1644
-5.1766,4.1424
-4.9937,4.0106
-4.8889,3.9886
-4.7744,3.9886
-4.6562,3.8568
-4.5377,3.8787
-4.3942,3.7689
-4.2681,3.7030
-4.1772,3.7249
-4.0985,3.7469
-4.0123,3.5931
-3.9175,3.5052
-3.7776,3.4393
-3.6430,3.4832
-3.5353,3.3953
-3.4225,3.3514
-3.3098,3.2635
-3.2233,3.2415
-3.1596,3.2855
-3.0712,3.1976
-3.0130,3.3074
-2.9774,3.1756
-2.9473,3.2855
-2.9267,3.2196
-2.9378,3.2415
-2.9686,3.2196
-3.0609,3.1536
-3.2010,3.3514
-3.2613,3.2635
-3.3083,3.3294
-3.3945,3.3074
-3.4623,3.2855
-3.5493,3.2415
-3.5277,3.2415
-3.4078,3.2855
-3.3455,3.1536
-3.4134,3.3514
-3.6390,3.4832
-4.0326,3.6590
-4.4920,3.7249
-4.9133,3.8787
-5.3003,4.0765
-5.6950,4.2303
-6.0691,4.4720
-6.4302,4.7357
-6.8956,5.0872
-7.5063,5.6585
-8.1906,6.0760
-8.8923,6.5814
-9.5660,6.7791
-10.1660,7.4163
-10.7238,7.8558
-11.4334,8.4710
-12.1029,9.1082
-12.8297,9.3499
-13.5414,9.8992
-14.1437,10.3607
-14.7904,10.8221
-15.5256,11.2616
-16.2434,11.6131
-16.9813,12.1405
-17.7173,12.5579
-18.5760,12.8216
-19.3983,13.1732
-20.1869,13.4808
-20.9029,13.7884
-21.6133,14.0521
-22.2726,13.9642
-22.5454,13.6566
-21.7953,13.5687
-20.6960,13.5247
-20.1941,13.5687
-19.9226,13.4368
-19.8237,13.5247
-19.9417,13.5467
-20.0962,13.4149
-20.1042,13.5467
-20.0654,13.6126
-20.0549,13.5467
-20.0591,13.6126
-20.0455,13.5467
-19.9896,13.5028
-19.9291,13.4588
-19.8401,13.4149
-19.7577,13.4368
-19.7284,13.5467
-19.7912,13.4808
-19.8911,13.5028
-20.0578,13.6566
-20.2567,13.5687
-20.5118,13.6126
-20.8111,13.8324
-21.1530,13.8543
-21.5344,14.1400
-21.9687,14.1180
-22.4478,14.3158
-22.8331,14.4036
-23.2531,14.5135
-23.7009,14.6234
-24.0549,14.7113
-24.2364,14.7113
-24.2632,14.6014
-24.0702,14.6893
-23.7385,14.6453
-23.4373,14.6453
-23.2061,14.6014
-23.0245,14.5794
-22.7795,14.5135
-22.4555,14.5135
-22.0758,14.4476
-21.7623,14.4256
-21.5015,14.3597
-21.3194,14.3817
-21.1452,14.2498
-20.9044,14.0741
-20.5505,13.9202
-20.2039,13.8983
-19.8607,13.6785
-19.5841,13.6346
-19.2974,13.5467
-19.0429,13.4588
-18.7637,13.3490
-18.4422,13.1073
-18.0797,13.1073
-17.7522,12.7337
-17.4724,12.7777
-17.1484,12.6239
-16.9277,12.4920
-16.6962,12.3602
-16.4690,12.1624
-16.2522,12.0526
-15.9087,12.0086
-15.6514,11.8768
-15.4781,11.6351
-15.2319,11.4813
-14.9926,11.3934
-14.8000,11.2396
-14.6055,11.0638
-14.3742,11.0638
-14.1570,10.9320
-14.0192,10.8441
-13.8804,10.6463
-13.7673,10.5145
-13.5745,10.3607
-13.3650,10.2948
-13.1553,10.1629
-12.9347,10.0311
