t,x,y
4.417054E0,9.812274E-3,4.903535E-2
4.433722E0,,
4.450390E0,,
4.467058E0,,
4.483727E0,,
4.500395E0,9.712907E-3,4.908726E-2
4.517063E0,,
4.533731E0,,
4.550399E0,,
4.567067E0,,
4.583735E0,9.608201E-3,4.883840E-2
4.600404E0,,
4.617072E0,,
4.633740E0,,
4.650408E0,,
4.667076E0,9.952871E-3,4.848127E-2
4.683744E0,,
4.700412E0,,
4.717080E0,,
4.733749E0,,
4.750417E0,9.546504E-3,4.818762E-2
4.767085E0,,
4.783753E0,,
4.800421E0,,
4.817089E0,,
4.833757E0,9.746128E-3,4.813393E-2
4.850425E0,,
4.867094E0,,
4.883762E0,,
4.900430E0,,
4.917098E0,9.699559E-3,4.833534E-2
4.933766E0,,
4.950434E0,,
4.967102E0,,
4.983770E0,,
5.000439E0,9.751467E-3,4.843470E-2
5.017107E0,,
5.033775E0,,
5.050443E0,,
5.067111E0,,
5.083779E0,9.749687E-3,4.833445E-2
5.100447E0,,
5.117115E0,,
5.133784E0,,
5.150452E0,,
5.167120E0,9.755027E-3,4.863522E-2
5.183788E0,,
5.200456E0,,
5.217124E0,,
5.233792E0,,
5.250461E0,9.653880E-3,4.858687E-2
5.267129E0,,
5.283797E0,,
5.300465E0,,
5.317133E0,,
5.333801E0,9.941303E-3,4.782960E-2
5.350469E0,,
5.367137E0,,
5.383806E0,,
5.400474E0,,
5.417142E0,9.549174E-3,4.833801E-2
5.433810E0,,
5.450478E0,,
5.467146E0,,
5.483814E0,,
5.500482E0,9.797146E-3,4.818317E-2
5.517151E0,,
5.533819E0,,
5.550487E0,,
5.567155E0,,
5.583823E0,9.788248E-3,4.768189E-2
5.600491E0,,
5.617159E0,,
5.633827E0,,
5.650496E0,,
5.667164E0,9.835707E-3,4.753061E-2
5.683832E0,,
5.700500E0,,
5.717168E0,,
5.733836E0,,
5.750504E0,9.640532E-3,4.783494E-2
5.767173E0,,
5.783841E0,,
5.800509E0,,
5.817177E0,,
5.833845E0,9.638752E-3,4.773468E-2
5.850513E0,,
5.867181E0,,
5.883849E0,,
5.900518E0,,
5.917186E0,9.742569E-3,4.793342E-2
5.933854E0,,
5.950522E0,,
5.967190E0,,
5.983858E0,,
6.000526E0,9.543835E-3,4.803723E-2
6.017194E0,,
6.033863E0,,
6.050531E0,,
6.067199E0,,
6.083867E0,9.593073E-3,4.798622E-2
6.100535E0,,
6.117203E0,,
6.133871E0,,
6.150539E0,,
6.167208E0,9.585065E-3,4.753506E-2
6.183876E0,,
6.200544E0,,
6.217212E0,,
6.233880E0,,
6.250548E0,9.884055E-3,4.742946E-2
6.267216E0,,
6.283885E0,,
6.300553E0,,
6.317221E0,,
6.333889E0,9.627184E-3,4.708302E-2
6.350557E0,,
6.367225E0,,
6.383893E0,,
6.400561E0,,
