force,angle
2.9341,-13.8133
2.9484,-13.8793
2.9606,-13.9232
2.9663,-13.9452
2.9706,-14.3187
2.9802,-14.6483
2.9925,-14.6922
3.0035,-14.8241
3.0117,-14.9120
3.0178,-15.3514
3.0287,-15.7250
3.0406,-15.9667
3.0549,-16.2962
3.0691,-16.6698
3.0863,-16.9335
3.1042,-17.0873
3.1173,-17.0873
3.1268,-17.3949
3.1341,-17.4828
3.1408,-17.8124
3.1510,-18.0101
3.1632,-18.1639
3.1736,-18.2958
3.1842,-18.4715
3.1915,-18.6254
3.1974,-18.6473
3.2044,-19.1087
3.2148,-19.1307
3.2221,-19.1747
3.2284,-19.2845
3.2326,-19.4164
3.2387,-19.5702
3.2462,-19.6800
3.2536,-19.8338
3.2597,-19.9217
3.2663,-20.0536
3.2726,-20.2513
3.2823,-20.3172
3.2907,-20.5150
3.3001,-20.6688
3.3091,-20.9764
3.3198,-21.1522
3.3308,-21.2401
3.3394,-21.3280
3.3469,-21.5477
3.3561,-21.7455
3.3659,-21.8553
3.3743,-21.9652
3.3845,-22.0751
3.3938,-22.1410
3.3991,-22.2728
3.4048,-22.4046
3.4102,-22.4706
3.4165,-22.6244
3.4251,-22.8441
3.4343,-23.0419
3.4446,-23.1737
3.4559,-23.5472
3.4653,-23.5253
3.4718,-23.5033
3.4753,-23.7670
3.4853,-23.9867
3.4968,-24.0965
3.5077,-24.6239
3.5233,-24.7337
3.5489,-24.7777
3.5656,-24.7777
3.5724,-24.8216
3.5798,-25.0414
3.5907,-25.2171
3.6091,-25.2171
3.6186,-25.1732
3.6242,-25.2831
3.6256,-25.3050
3.6113,-25.2391
3.5825,-25.2171
3.5548,-25.1732
3.5421,-25.1952
3.5332,-25.1732
3.5241,-25.0633
3.5097,-24.9974
3.4937,-24.9315
3.4823,-24.8876
3.4728,-24.6678
3.4618,-24.3822
3.4487,-24.2504
3.4358,-24.0526
3.4231,-23.6351
3.4074,-23.3495
3.3935,-23.1957
3.3772,-22.9540
3.3618,-22.6024
3.3475,-22.3607
3.3333,-22.0751
3.3181,-21.7894
3.3009,-21.3719
3.2845,-21.0423
3.2670,-20.7347
3.2504,-20.5370
3.2340,-20.2074
3.2192,-19.7460
3.2032,-18.9330
3.1775,-18.6913
3.1519,-18.5155
3.1311,-18.3397
3.1180,-18.1420
3.1073,-17.9222
3.0966,-17.7684
3.0876,-17.4828
3.0785,-17.1532
3.0650,-16.9115
3.0512,-16.5379
3.0372,-16.2743
3.0226,-15.9447
3.0062,-15.6810
2.9910,-15.2416
2.9770,-14.8021
2.9609,-14.6263
2.9440,-14.4066
2.9291,-14.1210
2.9165,-13.9891
2.9080,-13.7914
2.9006,-13.5936
2.8921,-13.3739
2.8833,-13.1761
2.8724,-12.8685
2.8609,-12.6927
2.8496,-12.4071
2.8377,-12.0555
2.8247,-11.9676
2.8125,-11.8578
2.8044,-11.7699
2.7994,-11.5062
2.7926,-11.4623
2.7842,-11.0887
2.7750,-10.8031
