force,angle
6.6519,-1.8891
6.5282,-1.7353
6.4189,-1.4497
6.2612,-1.2739
5.9742,-1.1201
5.6540,-1.0102
5.2749,-0.9663
4.8565,-0.9443
4.3405,-0.9004
3.5467,-0.7466
2.6420,-0.5708
1.8652,-0.4829
1.2781,-0.4170
0.8594,-0.2851
0.5694,-0.2632
0.3382,-0.3071
0.1790,-0.2851
0.0841,-0.2851
0.0518,-0.2412
0.0380,-0.2192
0.0244,-0.1753
0.0167,-0.3291
0.0209,-0.2851
0.0330,-0.3291
0.0453,-0.2851
0.1208,-0.2632
0.4658,-0.4389
1.2545,-0.6147
2.3016,-0.7466
3.2043,-0.8345
3.7635,-0.8784
4.1676,-1.0102
4.6060,-1.0762
5.0936,-1.2080
5.5531,-1.2300
5.9459,-1.3838
6.2717,-1.6474
6.5265,-1.7353
6.7497,-1.8891
6.9045,-2.0430
7.0545,-2.7021
7.2136,-2.9219
7.3764,-3.3393
7.4969,-3.3613
7.5888,-3.8008
7.6605,-4.3940
7.7641,-4.5918
7.8868,-4.8774
7.9844,-5.1411
8.0631,-5.4707
8.1478,-5.9101
8.2480,-6.6572
8.3572,-6.6133
8.4532,-6.7671
8.4875,-7.0088
8.5234,-7.0967
8.5813,-7.6240
8.6457,-7.9536
8.7337,-8.2612
8.8086,-8.3052
8.8482,-8.6347
8.8680,-9.1621
8.9432,-9.5576
9.0450,-10.0190
9.1408,-10.2827
9.2317,-10.5683
9.3192,-10.9858
9.3962,-11.4033
9.4738,-11.5351
9.5524,-11.6889
9.6081,-11.7988
9.6471,-12.3481
9.6954,-12.5459
9.7689,-12.7656
9.8323,-12.9853
9.8817,-13.1391
9.9322,-13.2490
9.9854,-13.3589
10.0326,-13.5786
10.0786,-13.9082
10.1292,-13.9521
10.1784,-14.1719
10.2186,-14.2817
10.2638,-14.4575
10.3104,-14.6553
10.3468,-14.9189
10.4057,-14.9409
10.4683,-14.8310
10.5093,-14.5893
10.5203,-14.5893
10.5027,-14.8970
10.5307,-15.1606
10.6051,-15.4682
10.6973,-15.7539
10.7885,-15.8198
10.8665,-15.7539
10.8759,-15.7319
10.8880,-15.8857
10.9409,-16.0176
10.9965,-16.1274
11.0350,-16.1933
11.0446,-16.2593
11.0623,-16.4131
11.0976,-16.5010
11.1410,-16.6108
11.1747,-16.5449
11.2079,-16.6987
11.2347,-16.7207
11.2634,-16.7207
11.2857,-16.8745
11.3031,-16.8305
11.3264,-16.7866
11.3130,-16.7427
11.2691,-16.7427
11.2097,-16.7207
11.1535,-16.5449
11.1116,-16.6548
11.0554,-16.5229
11.0046,-16.4570
10.9603,-16.3472
10.9023,-16.1494
10.7844,-15.8418
10.6159,-15.7319
10.4887,-15.5122
10.3973,-15.2925
10.3096,-15.0068
10.2206,-14.7871
10.1347,-14.4136
10.0497,-14.0180
9.9570,-13.3808
9.8389,-12.9194
9.7078,-12.4360
9.5908,-12.1284
9.4811,-11.5791
9.3737,-11.4472
9.2737,-10.8540
9.1802,-10.1509
9.0556,-9.6235
8.9094,-8.9204
8.7671,-8.2612
8.6092,-7.8877
8.4577,-7.5141
8.3457,-7.0747
8.2482,-6.7451
8.1412,-6.1958
8.0347,-6.0420
7.9187,-5.6684
7.8265,-5.4267
7.7395,-5.1631
7.6549,-4.9873
7.5867,-4.8115
7.5216,-4.3721
7.4498,-4.1523
7.3618,-4.0864
7.2893,-3.9765
7.2373,-3.6470
7.1851,-3.5810
7.1231,-3.3613
7.0672,-3.1196
7.0013,-2.9658
6.9269,-2.8120
6.8459,-2.7900
6.7597,-2.6802
6.7114,-2.5483
6.6622,-2.3725
6.5705,-2.2627
6.4596,-2.0649
6.3560,-1.8232
6.2125,-1.7793
6.0459,-1.6035
5.8918,-1.5156
5.6793,-1.3618
5.3538,-1.2519
5.0701,-1.2959
4.7754,-1.2300
4.3869,-1.2300
3.9882,-1.1201
3.6212,-0.9883
3.2597,-0.9663
2.9067,-0.9223
2.5946,-0.8564
2.2778,-0.8784
2.0266,-0.7026
1.7380,-0.4609
1.3652,-0.2192
1.0471,-0.3291
0.8746,-0.2851
0.8068,-0.2192
0.7231,-0.2851
0.6147,-0.2192
0.5230,-0.3291
0.4559,-0.2192
0.4156,-0.2192
0.4282,-0.1533
0.4747,-0.2412
0.5490,-0.2412
0.6578,-0.2851
0.8881,-0.2632
1.3209,-0.3511
