t,Bx,By,Ax,Ay
2.836167E0,4.638361E2,-2.244307E2,4.008945E2,-1.426608E2
2.869533E0,4.635745E2,-2.241617E2,4.012244E2,-1.423944E2
2.902900E0,4.641539E2,-2.245920E2,4.019938E2,-1.423130E2
2.936267E0,4.640246E2,-2.246436E2,4.026914E2,-1.422212E2
2.969633E0,4.645724E2,-2.248333E2,4.032094E2,-1.419009E2
3.003000E0,4.649567E2,-2.245768E2,4.038318E2,-1.412620E2
3.036367E0,4.648423E2,-2.244168E2,4.042644E2,-1.408952E2
3.069733E0,4.654148E2,-2.244842E2,4.054426E2,-1.405465E2
3.103100E0,4.656976E2,-2.246192E2,4.058269E2,-1.402766E2
3.136467E0,4.658422E2,-2.251366E2,4.064043E2,-1.403189E2
3.169833E0,4.660317E2,-2.247531E2,4.071456E2,-1.402397E2
3.203200E0,4.672005E2,-2.241987E2,4.079669E2,-1.402234E2
3.236567E0,4.672189E2,-2.243217E2,4.087177E2,-1.402160E2
3.269933E0,4.676782E2,-2.245110E2,4.093017E2,-1.402656E2
3.303300E0,4.679090E2,-2.245283E2,4.101167E2,-1.402287E2
3.336667E0,4.680477E2,-2.245469E2,4.109351E2,-1.402701E2
3.370033E0,4.684769E2,-2.244907E2,4.113579E2,-1.401297E2
3.403400E0,4.692930E2,-2.242149E2,4.122673E2,-1.396057E2
3.436767E0,4.695957E2,-2.242210E2,4.126681E2,-1.389984E2
3.470133E0,4.699888E2,-2.243580E2,4.135329E2,-1.384285E2
3.503500E0,4.707889E2,-2.240601E2,4.143380E2,-1.382966E2
3.536867E0,4.711859E2,-2.231380E2,4.152123E2,-1.382609E2
3.570233E0,4.715902E2,-2.228786E2,4.156930E2,-1.375039E2
3.603600E0,4.719570E2,-2.220210E2,4.160937E2,-1.368325E2
3.636967E0,4.730734E2,-2.209924E2,4.172428E2,-1.357975E2
3.670333E0,4.732315E2,-2.211102E2,4.181793E2,-1.353575E2
3.703700E0,4.733454E2,-2.209601E2,4.189551E2,-1.354546E2
3.737067E0,4.735075E2,-2.209577E2,4.189458E2,-1.345118E2
3.770433E0,4.743141E2,-2.195906E2,4.194408E2,-1.340976E2
3.803800E0,4.749072E2,-2.193910E2,4.200194E2,-1.335826E2
3.837167E0,4.753118E2,-2.185188E2,4.208178E2,-1.328960E2
3.870533E0,4.756979E2,-2.175292E2,4.213675E2,-1.321527E2
3.903900E0,4.757730E2,-2.172284E2,4.218884E2,-1.310238E2
3.937267E0,4.766733E2,-2.168022E2,4.223749E2,-1.304689E2
3.970633E0,4.765028E2,-2.162085E2,4.227557E2,-1.303715E2
4.004000E0,4.767042E2,-2.161739E2,4.231801E2,-1.302712E2
4.037367E0,4.765947E2,-2.159805E2,4.236123E2,-1.293743E2
4.070733E0,4.772500E2,-2.154934E2,4.237608E2,-1.291532E2
4.104100E0,4.777751E2,-2.151815E2,4.243267E2,-1.283044E2
4.137467E0,4.776351E2,-2.146737E2,4.249764E2,-1.282670E2
4.170833E0,4.781215E2,-2.141944E2,4.252963E2,-1.283665E2
4.204200E0,4.785100E2,-2.140470E2,4.254680E2,-1.271019E2
4.237567E0,4.793038E2,-2.128611E2,4.258092E2,-1.267615E2
4.270933E0,4.796458E2,-2.127561E2,4.261888E2,-1.256109E2
4.304300E0,4.794307E2,-2.122406E2,4.267880E2,-1.258444E2
4.337667E0,4.797016E2,-2.127391E2,4.269881E2,-1.256527E2
4.371033E0,4.797418E2,-2.119915E2,4.272108E2,-1.254098E2
4.404400E0,4.798206E2,-2.126110E2,4.277055E2,-1.252154E2
4.437767E0,4.801513E2,-2.120885E2,4.282728E2,-1.253642E2
4.471133E0,4.802069E2,-2.119165E2,4.285122E2,-1.252476E2
4.504500E0,4.804897E2,-2.120119E2,4.290980E2,-1.251564E2
4.537867E0,4.813498E2,-2.117960E2,4.292395E2,-1.244424E2
4.571233E0,4.814016E2,-2.118269E2,4.298668E2,-1.240499E2
4.604600E0,4.818808E2,-2.118407E2,4.296420E2,-1.248659E2
4.637967E0,4.815824E2,-2.115928E2,4.301719E2,-1.241510E2
4.671333E0,4.817371E2,-2.117933E2,4.301403E2,-1.245127E2
4.704700E0,4.820122E2,-2.114047E2,4.310965E2,-1.247121E2
4.738067E0,4.815418E2,-2.117205E2,4.313419E2,-1.245870E2
4.771433E0,4.818460E2,-2.116127E2,4.314926E2,-1.245811E2
4.804800E0,4.817390E2,-2.118887E2,4.316837E2,-1.246227E2
4.838167E0,4.816442E2,-2.120258E2,4.318045E2,-1.246049E2
4.871533E0,4.820600E2,-2.127370E2,4.319260E2,-1.247561E2
4.904900E0,4.818590E2,-2.124050E2,4.324487E2,-1.247488E2
4.938267E0,4.822482E2,-2.123888E2,4.323628E2,-1.244386E2
4.971633E0,4.828766E2,-2.124817E2,4.327509E2,-1.248181E2
5.005000E0,4.827288E2,-2.127286E2,4.327220E2,-1.245609E2
5.038367E0,4.829539E2,-2.127317E2,4.328617E2,-1.246613E2
5.071733E0,4.827070E2,-2.132603E2,4.328233E2,-1.247994E2
5.105100E0,4.825246E2,-2.133096E2,4.330852E2,-1.250123E2
5.138467E0,4.835582E2,-2.129103E2,4.334632E2,-1.245333E2
5.171833E0,4.831423E2,-2.129291E2,4.336886E2,-1.245780E2
5.205200E0,4.831459E2,-2.130495E2,4.337809E2,-1.244922E2
5.238567E0,4.835652E2,-2.130273E2,4.339778E2,-1.245701E2
5.271933E0,4.835167E2,-2.125851E2,4.339404E2,-1.242767E2
5.305300E0,4.836689E2,-2.129301E2,4.343335E2,-1.243970E2
5.338667E0,4.840809E2,-2.130501E2,4.348230E2,-1.243224E2
5.372033E0,4.840659E2,-2.133967E2,4.348395E2,-1.241950E2
5.405400E0,4.840622E2,-2.135858E2,4.346703E2,-1.242919E2
5.438767E0,4.838877E2,-2.132505E2,4.348170E2,-1.246841E2
5.472133E0,4.838641E2,-2.134160E2,4.350221E2,-1.245133E2
5.505500E0,4.840354E2,-2.130684E2,4.354013E2,-1.244080E2
5.538867E0,4.840608E2,-2.130081E2,4.354847E2,-1.239684E2
5.572233E0,4.839572E2,-2.130003E2,4.358493E2,-1.231222E2
5.605600E0,4.838928E2,-2.130003E2,4.356753E2,-1.232640E2
5.638967E0,4.852064E2,-2.116906E2,4.358225E2,-1.231267E2
5.672333E0,4.854897E2,-2.115239E2,4.359214E2,-1.225833E2
5.705700E0,4.855307E2,-2.114214E2,4.358085E2,-1.228380E2
5.739067E0,4.853192E2,-2.113451E2,4.357574E2,-1.226586E2
5.772433E0,4.853419E2,-2.113542E2,4.358875E2,-1.228290E2
5.805800E0,4.853411E2,-2.114931E2,4.356186E2,-1.226733E2
5.839167E0,4.850983E2,-2.111658E2,4.358372E2,-1.226019E2
5.872533E0,4.853430E2,-2.111358E2,4.353862E2,-1.225197E2
5.905900E0,4.852425E2,-2.110950E2,4.354213E2,-1.226225E2
5.939267E0,4.853803E2,-2.105435E2,4.353851E2,-1.222626E2
5.972633E0,4.852257E2,-2.101339E2,4.354033E2,-1.222709E2
6.006000E0,4.854278E2,-2.098284E2,4.356471E2,-1.216905E2
6.039367E0,4.855527E2,-2.097802E2,4.357212E2,-1.210941E2
6.072733E0,4.856059E2,-2.096163E2,4.355941E2,-1.206222E2
6.106100E0,4.853105E2,-2.093763E2,4.355249E2,-1.204534E2
6.139467E0,4.852019E2,-2.093206E2,4.356457E2,-1.204103E2
6.172833E0,4.851792E2,-2.092293E2,4.355287E2,-1.203774E2
6.206200E0,4.853758E2,-2.091768E2,4.353149E2,-1.202684E2
6.239567E0,4.853048E2,-2.092632E2,4.353514E2,-1.206929E2
6.272933E0,4.851243E2,-2.091629E2,4.352795E2,-1.207575E2
6.306300E0,4.840431E2,-2.095325E2,4.350964E2,-1.206286E2
6.339667E0,4.840207E2,-2.094853E2,4.350622E2,-1.204180E2
6.373033E0,4.840371E2,-2.092576E2,4.350874E2,-1.204742E2
6.406400E0,4.838240E2,-2.093633E2,4.350841E2,-1.202956E2
6.439767E0,4.838952E2,-2.090494E2,4.350820E2,-1.201747E2
6.473133E0,4.836521E2,-2.093493E2,4.348559E2,-1.205206E2
6.506500E0,4.836595E2,-2.091583E2,4.346416E2,-1.204051E2
6.539867E0,4.837064E2,-2.092651E2,4.345602E2,-1.203815E2
6.573233E0,4.832718E2,-2.092899E2,4.344375E2,-1.203392E2
6.606600E0,4.834772E2,-2.091422E2,4.342054E2,-1.204763E2
6.639967E0,4.833530E2,-2.090568E2,4.342249E2,-1.205127E2
6.673333E0,4.833506E2,-2.092238E2,4.341349E2,-1.207205E2
6.706700E0,4.834623E2,-2.093974E2,4.341903E2,-1.207445E2
6.740067E0,4.836109E2,-2.093345E2,4.339163E2,-1.207664E2
6.773433E0,4.832365E2,-2.095121E2,4.336811E2,-1.210422E2
6.806800E0,4.833503E2,-2.094818E2,4.333844E2,-1.205497E2
6.840167E0,4.834597E2,-2.092221E2,4.334104E2,-1.211200E2
6.873533E0,4.837329E2,-2.095982E2,4.334158E2,-1.207273E2
6.906900E0,4.833610E2,-2.093540E2,4.331019E2,-1.208184E2
6.940267E0,4.834665E2,-2.094146E2,4.332283E2,-1.209676E2
6.973633E0,4.835425E2,-2.091615E2,4.328168E2,-1.206705E2
7.007000E0,4.835680E2,-2.094095E2,4.324855E2,-1.205562E2
7.040367E0,4.837666E2,-2.081663E2,4.324290E2,-1.205149E2
7.073733E0,4.855131E2,-2.062274E2,4.324608E2,-1.206138E2
7.107100E0,4.857591E2,-2.058032E2,4.325093E2,-1.202115E2
7.140467E0,4.854385E2,-2.070809E2,4.329486E2,-1.204630E2
7.173833E0,4.853419E2,-2.067345E2,4.326015E2,-1.206170E2
7.207200E0,4.853943E2,-2.072044E2,4.321160E2,-1.211002E2
7.240567E0,4.856789E2,-2.072732E2,4.322177E2,-1.212763E2
7.273933E0,4.852101E2,-2.071914E2,4.314032E2,-1.223195E2
7.307300E0,4.860094E2,-2.071034E2,4.315828E2,-1.224087E2
7.340667E0,4.860484E2,-2.070587E2,4.317717E2,-1.223817E2
7.374033E0,4.865597E2,-2.070809E2,4.315678E2,-1.218524E2
7.407400E0,4.876888E2,-2.057570E2,4.317075E2,-1.209348E2
7.440767E0,4.874982E2,-2.057589E2,4.314333E2,-1.206801E2
7.474133E0,4.878295E2,-2.048054E2,4.315442E2,-1.202765E2
7.507500E0,4.884914E2,-2.036506E2,4.314326E2,-1.201007E2
7.540867E0,4.888831E2,-2.029609E2,4.314110E2,-1.195453E2
7.574233E0,4.893636E2,-2.015386E2,4.315364E2,-1.184306E2
7.607600E0,4.890095E2,-2.012902E2,4.313203E2,-1.183530E2
7.640967E0,4.891533E2,-2.006503E2,4.310690E2,-1.182462E2
7.674333E0,4.887452E2,-2.004880E2,4.306029E2,-1.182640E2
7.707700E0,4.883120E2,-2.000473E2,4.301356E2,-1.183138E2
7.741067E0,4.878600E2,-1.995438E2,4.297425E2,-1.166962E2
7.774433E0,4.867624E2,-1.992055E2,4.288016E2,-1.155865E2
7.807800E0,4.860851E2,-1.989463E2,4.279925E2,-1.149727E2
7.841167E0,4.855121E2,-1.977082E2,4.270239E2,-1.145982E2
7.874533E0,4.848314E2,-1.967007E2,4.261798E2,-1.130399E2
7.907900E0,4.845446E2,-1.955950E2,4.261327E2,-1.124191E2
7.941267E0,4.841925E2,-1.940331E2,4.253613E2,-1.106114E2
7.974633E0,4.832308E2,-1.934638E2,4.245695E2,-1.091010E2
8.008000E0,4.824457E2,-1.917838E2,4.239968E2,-1.082363E2
8.041367E0,4.812306E2,-1.908608E2,4.233653E2,-1.067270E2
8.074733E0,4.799469E2,-1.902843E2,4.224945E2,-1.069256E2
8.108100E0,4.788720E2,-1.889535E2,4.214875E2,-1.045601E2
8.141467E0,4.773702E2,-1.881562E2,4.202266E2,-1.028039E2
8.174833E0,4.763472E2,-1.867356E2,4.195243E2,-1.013145E2
8.208200E0,4.750381E2,-1.855977E2,4.185606E2,-1.003106E2
8.241567E0,4.729918E2,-1.846031E2,4.171502E2,-9.878548E1
8.274933E0,4.716000E2,-1.838038E2,4.160022E2,-9.685121E1
8.308300E0,4.698009E2,-1.823102E2,4.145593E2,-9.626467E1
8.341667E0,4.681847E2,-1.806060E2,4.130145E2,-9.476382E1
8.375033E0,4.668976E2,-1.791285E2,4.116749E2,-9.281043E1
8.408400E0,4.649468E2,-1.778099E2,4.107281E2,-9.125198E1
8.441767E0,4.635933E2,-1.755879E2,4.094939E2,-8.928236E1
8.475133E0,4.612695E2,-1.741353E2,4.078001E2,-8.766900E1
8.508500E0,4.603084E2,-1.724843E2,4.062381E2,-8.567633E1
8.541867E0,4.584380E2,-1.702623E2,4.049950E2,-8.342896E1
8.575233E0,4.571962E2,-1.682149E2,4.037614E2,-8.134926E1
8.608600E0,4.548004E2,-1.673078E2,4.020027E2,-7.930439E1
8.641967E0,4.533714E2,-1.647594E2,4.005900E2,-7.733273E1
8.675333E0,4.515579E2,-1.626774E2,3.990087E2,-7.517487E1
8.708700E0,4.494688E2,-1.605258E2,3.968474E2,-7.275755E1
8.742067E0,4.477576E2,-1.586735E2,3.956541E2,-7.055290E1
8.775433E0,4.455058E2,-1.565814E2,3.938927E2,-6.783317E1
8.808800E0,4.435519E2,-1.543150E2,3.918771E2,-6.565410E1
