micros,encoder
665520.00,	 16383.0000000000
669032.00,	 16383.0000000000
672536.00,	 16383.0000000000
676048.00,	 16382.0000000000
679548.00,	 2.0000000000
682896.00,	 3.0000000000
686244.00,	 2.0000000000
689584.00,	 16381.0000000000
693096.00,	 1.0000000000
696452.00,	 2.0000000000
699788.00,	 0.0000000000
703160.00,	 0.0000000000
706536.00,	 16383.0000000000
710044.00,	 2.0000000000
713384.00,	 0.0000000000
716764.00,	 0.0000000000
720144.00,	 16383.0000000000
723656.00,	 0.0000000000
727036.00,	 1.0000000000
730384.00,	 0.0000000000
733752.00,	 2.0000000000
737100.00,	 16383.0000000000
740616.00,	 4.0000000000
743952.00,	 1.0000000000
747304.00,	 16383.0000000000
750820.00,	 2.0000000000
754172.00,	 2.0000000000
757520.00,	 0.0000000000
760904.00,	 1.0000000000
764248.00,	 16382.0000000000
767752.00,	 16383.0000000000
771264.00,	 1.0000000000
774608.00,	 0.0000000000
777984.00,	 2.0000000000
781336.00,	 2.0000000000
784676.00,	 2.0000000000
788012.00,	 16383.0000000000
791524.00,	 16383.0000000000
795040.00,	 1.0000000000
798380.00,	 2.0000000000
801728.00,	 0.0000000000
805104.00,	 0.0000000000
808480.00,	 2.0000000000
811828.00,	 2.0000000000
815180.00,	 16382.0000000000
818684.00,	 16382.0000000000
822192.00,	 0.0000000000
825576.00,	 3.0000000000
828920.00,	 16383.0000000000
832432.00,	 0.0000000000
835808.00,	 1.0000000000
839152.00,	 16383.0000000000
842668.00,	 0.0000000000
846048.00,	 0.0000000000
849424.00,	 16383.0000000000
852936.00,	 0.0000000000
856312.00,	 16383.0000000000
859812.00,	 1.0000000000
863160.00,	 3.0000000000
866512.00,	 16383.0000000000
870016.00,	 16381.0000000000
873536.00,	 0.0000000000
876908.00,	 2.0000000000
880244.00,	 0.0000000000
883624.00,	 16383.0000000000
887136.00,	 2.0000000000
890476.00,	 16381.0000000000
893996.00,	 0.0000000000
897364.00,	 16383.0000000000
900876.00,	 0.0000000000
904260.00,	 0.0000000000
907632.00,	 0.0000000000
911004.00,	 0.0000000000
914384.00,	 0.0000000000
917756.00,	 0.0000000000
921128.00,	 1.0000000000
924480.00,	 16383.0000000000
927992.00,	 2.0000000000
931344.00,	 16383.0000000000
934856.00,	 0.0000000000
938232.00,	 16383.0000000000
941736.00,	 16382.0000000000
945256.00,	 16383.0000000000
948760.00,	 2.0000000000
952112.00,	 0.0000000000
955496.00,	 16383.0000000000
959000.00,	 1.0000000000
962352.00,	 0.0000000000
965736.00,	 0.0000000000
969104.00,	 2.0000000000
972448.00,	 3.0000000000
975796.00,	 2.0000000000
979148.00,	 16383.0000000000
982652.00,	 2.0000000000
986000.00,	 0.0000000000
989384.00,	 16382.0000000000
992888.00,	 2.0000000000
996236.00,	 0.0000000000
999616.00,	 16383.0000000000
1003120.00,	 1.0000000000
